Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-06-14,78270.6875,79155.657584799,77680.70744346734,78369.0175094221,22926612
2024-06-17,76795.734375,78172.3544534251,76697.40436939821,77877.36443661971,16123051
2024-06-18,78467.3515625,78860.67162045739,77287.39138862782,77385.72140311718,18207598
2024-06-19,79843.96875,81122.2588900862,79155.65867456896,79745.63873922413,24168863
2024-06-20,80237.28125,80827.26125919117,79843.96124387255,80138.95124846813,20288913
2024-06-21,78664.015625,79450.65578125,78664.015625,79352.32576171875,17907523
2024-06-24,79253.984375,79548.97439128412,78172.35431529157,78369.01432614765,15454227
2024-06-25,79450.6484375,80433.9485419245,78762.33836440285,79253.9884166151,19088458
2024-06-26,79942.3046875,80040.63470556581,78565.68443457872,78762.34447071033,17783242
2024-06-27,80595.15625,80595.15625,79508.70193780637,80298.85052849265,11739720
2024-06-28,80496.3984375,80891.47278565951,79805.01832822086,80891.47278565951,9455929
2024-07-01,80792.6953125,81089.00104102996,80298.85243161675,80496.38958397006,11317202
2024-07-02,80792.6953125,81582.8439219132,80496.38958397006,81484.07534573655,14471904
2024-07-03,80792.6953125,81286.53819338325,80002.5467030868,81286.53819338325,11440328
2024-07-04,83558.21875,83656.98733008275,81385.30998817967,81879.15288859338,43857229
2024-07-05,86027.4296875,86027.4296875,84150.82674368542,84545.90104764639,45791193
2024-07-08,86323.7421875,87508.96519236271,85829.89926880722,86817.5851061928,24035809
2024-07-09,86718.8125,87113.8868166287,85829.89528758542,86718.8125,21336201
2024-07-10,86718.8125,86916.34965831434,86027.43244589977,86521.27534168564,17813847
2024-07-11,86521.2734375,87706.49636130137,85632.35624464897,87410.19063035103,24677608
2024-07-12,83360.6875,85039.75348045024,83064.38173874408,84842.21630627962,26344386
2024-07-15,85632.359375,86224.97085856402,83064.37627955595,83656.98776311995,25193080
2024-07-16,86620.046875,86916.35262257697,85632.36104974344,85829.89821479475,16166688
2024-07-17,85632.359375,86916.35092272203,85336.05363321799,86027.43369737601,18186490
2024-07-18,85829.8984375,85829.8984375,82768.07237126007,82768.07237126007,24721790
2024-07-19,83360.6875,85039.75348045024,83064.38173874408,84545.9105450237,18569122
2024-07-22,81977.9140625,83854.51691453313,81582.83977786145,83360.67405873493,18987560
2024-07-23,82866.84375,83656.99243891537,82373.00081942789,83163.14950834327,15766389
2024-07-24,80990.2421875,82274.23383193597,80891.47359946647,81879.15947980183,16939083
2024-07-25,79409.9375,80002.54897388059,79113.6317630597,79409.9375,20323811
2024-07-26,79903.78125,80298.85557014833,79409.93834981459,79706.24408992584,14508334
2024-07-29,80200.0859375,80990.2345674261,80101.31735875923,80595.16025246306,12797136
2024-07-30,80002.5546875,80002.5546875,79014.86882716049,79409.9431712963,13169636
2024-07-31,82866.84375,82866.84375,79903.78616656734,80200.09192491061,20744323
2024-08-01,82076.6875,85039.74481046932,82076.6875,84940.97623345366,20900338
2024-08-02,78619.7890625,80397.62348853644,78521.02048327576,80002.54917163945,25800275
2024-08-05,70520.765625,75953.03748686975,69335.54267331933,75755.50032825631,54608790
2024-08-06,71607.21875,74372.73892241379,71409.68159482759,73977.66461206897,47295226
2024-08-07,73780.125,75064.11646586345,71903.52208835342,72101.0592369478,32710428
2024-08-08,72496.140625,72989.98354478883,71607.22336938011,72298.60345708446,28414729
2024-08-09,73780.125,74866.57931726908,73286.28212851407,74767.8107429719,16388222
2024-08-12,74570.28125,74965.35558774834,73878.9011589404,74273.97549668874,9839259
2024-08-13,75162.8828125,75656.72566934954,74570.27138428055,75557.95709797964,10716261
2024-08-14,76249.34375,76841.95522992229,76051.80659002591,76446.88090997409,13246168
2024-08-16,79212.3984375,79212.3984375,77730.86978841957,78422.2498246571,22061478
2024-08-19,77335.796875,79113.63128591955,77039.49113984675,79113.63128591955,14146565
2024-08-20,77928.4140625,78817.33133317491,77730.8768912389,78521.02557628327,10683836
2024-08-21,77335.796875,77632.10261015326,76841.95398307791,76940.72256146233,7805598
2024-08-22,77335.796875,77928.40834530651,76841.95398307791,77730.87118853768,8149101
2024-08-23,76743.1875,77434.56756756757,76545.65033783784,76743.1875,9420306
2024-08-26,75162.8828125,77237.02281126808,75064.1142411301,77138.25423989816,15655938
2024-08-27,74866.5859375,75557.96601871702,74669.048771438,74767.817354469,11130145
2024-08-28,75459.1953125,75459.1953125,74471.50950998037,74866.58383098822,9794514
2024-08-29,73088.75,73780.13006756757,72594.9070945946,72693.67567567568,16884479
2024-08-30,73385.0546875,74076.43474512112,73187.51752817967,73483.82326716016,16358520
2024-09-02,73483.8203125,73780.12603956653,72594.90313130041,73582.58888818884,12641376
2024-09-03,71607.21875,73385.05314655173,71607.21875,73187.5159913793,16314599
2024-09-04,69138.0078125,70224.46222098214,68940.47064732143,68940.47064732143,27366563
2024-09-05,68150.3203125,70323.22907608695,68150.3203125,69236.77469429348,25686769
2024-09-06,68051.546875,68841.69545990566,67162.62971698113,68249.08402122642,19022299
2024-09-09,66668.7890625,67360.16909722221,65779.871875,66076.17760416666,23263298
2024-09-10,65384.80078125,66471.25517489616,65187.263618768884,66174.94943117448,30651376
2024-09-11,64100.8046875,64693.416132993065,63409.42466775809,64298.341835997686,35809707
2024-09-12,65483.56640625,65779.87213659502,64397.112061651584,65187.26067590498,35884106
2024-09-13,63606.96484375,64693.419212199144,63508.19626480008,64199.57631744953,25045135
2024-09-19,62322.9765625,63606.96815570523,61434.059305665614,63211.89381933439,49402713
2024-09-20,62224.203125,63903.26892361111,62224.203125,63014.35173611111,32746056
2024-09-23,61829.1328125,62718.05005740815,61434.05848142972,61532.827064197285,28542376
2024-09-24,62421.7421875,62619.2793463212,61631.59355221519,62026.66786985759,26957500
2024-09-25,61434.0546875,63409.42622086013,61434.0546875,63014.351914188104,28652438
2024-09-26,63903.26953125,64100.80668590611,62915.58375796948,63113.120912625585,37566015
2024-09-27,63765.2109375,64957.084039135516,63765.2109375,64261.82472984813,28433030
2024-09-30,61083.49609375,63864.53331427846,61083.49609375,63765.210556402446,32694163
2024-10-02,60884.8515625,61480.78811939233,59494.332929751225,60090.269486643556,28473536
2024-10-04,60189.59375,61282.14413160066,60090.2709880363,60586.884797854786,24247578
2024-10-07,60586.8828125,61480.78764088114,59097.04143186475,59792.300742827865,35066533
2024-10-08,59891.625,60586.88432835821,59494.33395522388,59593.656716417914,27411786
2024-10-10,58501.10546875,59792.30134497029,58501.10546875,59692.97858526104,45262214
